Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
250,1024x1024,6597,4786
251,1024x1024,6536,4772
252,1024x1024,6621,4816
253,1024x1024,6559,4781
254,1024x1024,6877,4769
255,1024x1024,6548,4764
256,1024x1024,6553,4780
257,1024x1024,6652,5550
258,1024x1024,6684,5520
259,1024x1024,6626,5482
260,1024x1024,6560,5546
261,1024x1024,6554,5461
262,1024x1024,6593,5502
263,1024x1024,6565,5519
264,1024x1024,6650,5563
265,1024x1024,6624,5553
266,1024x1024,6636,5555
267,1024x1024,6696,5547
268,1024x1024,6552,5465
269,1024x1024,6552,5491
270,1024x1024,6563,5542
271,1024x1024,6555,5503
272,1024x1024,6572,5557
273,1024x1024,6558,5564
274,1024x1024,6595,5511
275,1024x1024,6561,5468
276,1024x1024,6565,5499
277,1024x1024,6611,5481
278,1024x1024,6687,5828
279,1024x1024,6875,5527
280,1024x1024,6601,5582
281,1024x1024,6622,5538
282,1024x1024,6549,5558
283,1024x1024,6683,5601
284,1024x1024,6680,5599
285,1024x1024,6648,5528
286,1024x1024,6594,5526
287,1024x1024,6585,5523
288,1024x1024,6625,5592
289,1024x1024,6598,5497
290,1024x1024,6650,5498
291,1024x1024,6594,5535
292,1024x1024,6565,5480
293,1024x1024,6564,5482
294,1024x1024,6550,5513
295,1024x1024,6580,5504
296,1024x1024,6553,5505
297,1024x1024,6578,5536
298,1024x1024,6549,5540
299,1024x1024,6567,5541
