Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
350,1024x1024,6604,5520
351,1024x1024,6659,5548
352,1024x1024,6538,5499
353,1024x1024,6608,5554
354,1024x1024,6632,5544
355,1024x1024,6584,5582
356,1024x1024,6732,5624
357,1024x1024,6719,5640
358,1024x1024,6654,5620
359,1024x1024,6953,5677
360,1024x1024,6631,5587
361,1024x1024,6637,5576
362,1024x1024,6620,5603
363,1024x1024,6628,5578
364,1024x1024,6613,5592
365,1024x1024,6639,5594
366,1024x1024,6708,5604
367,1024x1024,6812,5557
368,1024x1024,6690,5579
369,1024x1024,6636,5629
370,1024x1024,6795,5611
371,1024x1024,6720,5642
372,1024x1024,6622,5652
373,1024x1024,6636,5561
374,1024x1024,6647,5622
375,1024x1024,6699,5604
376,1024x1024,6652,5713
377,1024x1024,6702,5593
378,1024x1024,6714,5594
379,1024x1024,6675,5819
380,1024x1024,6968,6006
381,1024x1024,6782,5655
382,1024x1024,6805,5565
383,1024x1024,6648,5576
384,1024x1024,6693,5871
385,1024x1024,6740,5614
386,1024x1024,6636,5630
387,1024x1024,6639,5631
388,1024x1024,7195,5649
389,1024x1024,6736,5640
390,1024x1024,6637,5611
391,1024x1024,6660,5588
392,1024x1024,6619,5609
393,1024x1024,6656,5580
394,1024x1024,6693,5578
395,1024x1024,6665,5575
396,1024x1024,6710,5568
397,1024x1024,6588,5589
398,1024x1024,6622,5558
399,1024x1024,6605,5594
