Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
500,1024x1024,6805,5752
501,1024x1024,6645,5604
502,1024x1024,6640,5643
503,1024x1024,6602,5592
504,1024x1024,6605,5616
505,1024x1024,6637,5600
506,1024x1024,6637,5596
507,1024x1024,6671,5607
508,1024x1024,6684,5753
509,1024x1024,6618,5561
510,1024x1024,6632,5608
511,1024x1024,6668,5677
512,1024x1024,6642,5709
513,1024x1024,6634,5996
514,1024x1024,6601,6256
515,1024x1024,6622,6324
516,1024x1024,6668,6276
517,1024x1024,6643,6410
518,1024x1024,6751,6296
519,1024x1024,6798,6195
520,1024x1024,6768,6430
521,1024x1024,6846,6734
522,1024x1024,6671,6215
523,1024x1024,6755,6218
524,1024x1024,6754,6242
525,1024x1024,6693,6565
526,1024x1024,6630,6245
527,1024x1024,6625,6266
528,1024x1024,6667,6465
529,1024x1024,6680,6295
530,1024x1024,6620,6245
531,1024x1024,6662,6253
532,1024x1024,6623,6258
533,1024x1024,6640,6260
534,1024x1024,6633,6226
535,1024x1024,6634,6202
536,1024x1024,6621,6229
537,1024x1024,6578,6116
538,1024x1024,6620,6234
539,1024x1024,6603,6282
540,1024x1024,6622,6235
541,1024x1024,6605,6211
542,1024x1024,6598,6209
543,1024x1024,6601,6212
544,1024x1024,6587,6255
545,1024x1024,6597,6267
546,1024x1024,6622,6226
547,1024x1024,6651,6220
548,1024x1024,6597,6298
549,1024x1024,6772,6219
