Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
400,1024x1024,6696,5578
401,1024x1024,6595,5535
402,1024x1024,6621,5613
403,1024x1024,6735,5585
404,1024x1024,6733,5592
405,1024x1024,6649,5670
406,1024x1024,6848,5579
407,1024x1024,6627,5569
408,1024x1024,6629,5605
409,1024x1024,6630,5544
410,1024x1024,6622,5606
411,1024x1024,6644,5541
412,1024x1024,6645,5550
413,1024x1024,6636,5628
414,1024x1024,6724,5614
415,1024x1024,6659,5600
416,1024x1024,6593,5628
417,1024x1024,6736,5595
418,1024x1024,6809,5576
419,1024x1024,6621,5558
420,1024x1024,6648,5566
421,1024x1024,6637,5628
422,1024x1024,6774,5642
423,1024x1024,6671,5614
424,1024x1024,6737,5594
425,1024x1024,6732,5635
426,1024x1024,6761,5753
427,1024x1024,6801,5990
428,1024x1024,6672,5592
429,1024x1024,6794,5593
430,1024x1024,6680,5612
431,1024x1024,6676,5883
432,1024x1024,6660,5603
433,1024x1024,6671,5625
434,1024x1024,6626,5731
435,1024x1024,6809,5652
436,1024x1024,6696,5587
437,1024x1024,6644,5581
438,1024x1024,6640,5639
439,1024x1024,6615,5612
440,1024x1024,6647,5638
441,1024x1024,6636,5588
442,1024x1024,6612,5603
443,1024x1024,6687,5550
444,1024x1024,6599,5586
445,1024x1024,6658,5596
446,1024x1024,6624,5622
447,1024x1024,6593,5599
448,1024x1024,6626,5590
449,1024x1024,6574,5574
