Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
500,1023x1023,6399,5467
501,1023x1023,6478,5532
502,1023x1023,6537,5492
503,1023x1023,6512,5568
504,1023x1023,6590,5548
505,1023x1023,6565,5538
506,1023x1023,6513,5492
507,1023x1023,6570,5551
508,1023x1023,6524,5480
509,1023x1023,6555,5561
510,1023x1023,6512,5494
511,1023x1023,6483,5512
512,1023x1023,6481,5454
513,1023x1023,6490,6004
514,1023x1023,6467,6058
515,1023x1023,6482,6042
516,1023x1023,6490,6053
517,1023x1023,6609,6059
518,1023x1023,6586,6251
519,1023x1023,6662,6170
520,1023x1023,6678,6208
521,1023x1023,6643,6221
522,1023x1023,6702,6200
523,1023x1023,6651,6167
524,1023x1023,6673,6003
525,1023x1023,6668,6163
526,1023x1023,6684,6207
527,1023x1023,6648,6175
528,1023x1023,6653,6232
529,1023x1023,6681,6229
530,1023x1023,6667,6089
531,1023x1023,6642,5952
532,1023x1023,6671,6164
533,1023x1023,6680,6249
534,1023x1023,6675,6201
535,1023x1023,6704,6207
536,1023x1023,6662,6162
537,1023x1023,6710,6159
538,1023x1023,6670,6264
539,1023x1023,6696,6134
540,1023x1023,6665,6175
541,1023x1023,6714,6143
542,1023x1023,6688,6168
543,1023x1023,6668,5968
544,1023x1023,6716,6210
545,1023x1023,6674,6279
546,1023x1023,6644,6107
547,1023x1023,6674,6205
548,1023x1023,6675,6049
549,1023x1023,6688,6235
