Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
100,1023x1023,6658,4812
101,1023x1023,6717,4820
102,1023x1023,6677,4842
103,1023x1023,6656,4802
104,1023x1023,6675,4789
105,1023x1023,6659,4772
106,1023x1023,6671,4782
107,1023x1023,6659,4810
108,1023x1023,6660,4817
109,1023x1023,6700,4825
110,1023x1023,6654,4809
111,1023x1023,6672,4821
112,1023x1023,6709,4816
113,1023x1023,6692,4819
114,1023x1023,6692,4821
115,1023x1023,6682,4818
116,1023x1023,6677,4940
117,1023x1023,6689,4821
118,1023x1023,6673,4823
119,1023x1023,6683,4820
120,1023x1023,6672,4803
121,1023x1023,6691,4819
122,1023x1023,6675,4822
123,1023x1023,6686,4823
124,1023x1023,6683,4825
125,1023x1023,6688,4806
126,1023x1023,6678,4810
127,1023x1023,6671,4813
128,1023x1023,6688,4800
129,1023x1023,6661,4877
130,1023x1023,6656,4888
131,1023x1023,6697,4888
132,1023x1023,6684,4886
133,1023x1023,6681,4886
134,1023x1023,6682,4888
135,1023x1023,6736,4893
136,1023x1023,6680,4890
137,1023x1023,6675,4889
138,1023x1023,6669,4847
139,1023x1023,6655,4881
140,1023x1023,6681,4886
141,1023x1023,6657,4862
142,1023x1023,6658,4868
143,1023x1023,6687,4873
144,1023x1023,6706,4863
145,1023x1023,6677,4857
146,1023x1023,6565,4764
147,1023x1023,6547,4770
148,1023x1023,6543,4755
149,1023x1023,6512,4750
