Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
50,1023x1023,6572,5216
51,1023x1023,6568,5183
52,1023x1023,6550,5289
53,1023x1023,6698,5302
54,1023x1023,6691,5279
55,1023x1023,6722,5289
56,1023x1023,6680,5300
57,1023x1023,6661,5273
58,1023x1023,6697,5277
59,1023x1023,6689,5302
60,1023x1023,6663,5315
61,1023x1023,6698,5312
62,1023x1023,6675,5294
63,1023x1023,6697,5313
64,1023x1023,6690,5315
65,1023x1023,6707,4821
66,1023x1023,6692,4818
67,1023x1023,6738,4817
68,1023x1023,6701,4896
69,1023x1023,6678,4821
70,1023x1023,6683,4824
71,1023x1023,6688,4818
72,1023x1023,6683,4811
73,1023x1023,6684,4819
74,1023x1023,6717,4818
75,1023x1023,6694,4817
76,1023x1023,6685,4821
77,1023x1023,6686,4789
78,1023x1023,6670,4817
79,1023x1023,6705,4802
80,1023x1023,6658,4806
81,1023x1023,6702,4793
82,1023x1023,6715,4816
83,1023x1023,6688,4817
84,1023x1023,6699,4816
85,1023x1023,6706,4817
86,1023x1023,6674,4819
87,1023x1023,6685,4814
88,1023x1023,6678,4819
89,1023x1023,6685,4813
90,1023x1023,6683,4787
91,1023x1023,6648,4807
92,1023x1023,6695,4818
93,1023x1023,6685,4784
94,1023x1023,6653,4800
95,1023x1023,6685,4794
96,1023x1023,6713,4796
97,1023x1023,6651,4788
98,1023x1023,6526,4708
99,1023x1023,6537,4703
