Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
200,1023x1023,6691,4862
201,1023x1023,6660,4854
202,1023x1023,6652,4847
203,1023x1023,6658,4882
204,1023x1023,6697,4872
205,1023x1023,6653,4878
206,1023x1023,6671,4869
207,1023x1023,6665,4870
208,1023x1023,6645,4875
209,1023x1023,6643,4866
210,1023x1023,6657,4849
211,1023x1023,6655,4878
212,1023x1023,6707,4855
213,1023x1023,6734,4869
214,1023x1023,6651,4848
215,1023x1023,6658,4831
216,1023x1023,6665,4875
217,1023x1023,6687,4882
218,1023x1023,6666,4871
219,1023x1023,6658,4878
220,1023x1023,6666,4874
221,1023x1023,6661,4851
222,1023x1023,6661,4864
223,1023x1023,6649,4873
224,1023x1023,6674,4858
225,1023x1023,6664,4842
226,1023x1023,6657,4878
227,1023x1023,6663,4878
228,1023x1023,6650,4883
229,1023x1023,6645,4880
230,1023x1023,6653,4861
231,1023x1023,6688,4877
232,1023x1023,6663,4843
233,1023x1023,6678,4850
234,1023x1023,6639,4849
235,1023x1023,6524,4780
236,1023x1023,6570,4786
237,1023x1023,6547,4779
238,1023x1023,6577,4783
239,1023x1023,6588,4764
240,1023x1023,6532,4794
241,1023x1023,6599,4775
242,1023x1023,6569,4768
243,1023x1023,6768,4788
244,1023x1023,6498,4758
245,1023x1023,6493,4738
246,1023x1023,6476,4761
247,1023x1023,6506,4772
248,1023x1023,6537,4764
249,1023x1023,6510,4756
