Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
5,1023x1023,6584,29128
6,1023x1023,6554,29060
7,1023x1023,6524,29098
8,1023x1023,6518,28989
9,1023x1023,6500,12450
10,1023x1023,6484,12461
11,1023x1023,6531,12527
12,1023x1023,6546,12662
13,1023x1023,6646,12745
14,1023x1023,6624,12771
15,1023x1023,6681,12778
16,1023x1023,6668,12767
17,1023x1023,6660,7113
18,1023x1023,6656,7129
19,1023x1023,6648,7093
20,1023x1023,6694,7117
21,1023x1023,6666,7118
22,1023x1023,6672,7088
23,1023x1023,6693,7086
24,1023x1023,6705,7117
25,1023x1023,6687,7128
26,1023x1023,6670,7124
27,1023x1023,6664,7125
28,1023x1023,6669,7120
29,1023x1023,6669,7110
30,1023x1023,6640,7107
31,1023x1023,6652,7112
32,1023x1023,6640,7122
33,1023x1023,6716,5304
34,1023x1023,6660,5300
35,1023x1023,6657,5303
36,1023x1023,6674,5293
37,1023x1023,6652,5286
38,1023x1023,6657,5294
39,1023x1023,6648,5284
40,1023x1023,6660,5276
41,1023x1023,6588,5183
42,1023x1023,6544,5208
43,1023x1023,6555,5200
44,1023x1023,6568,5212
45,1023x1023,6578,5193
46,1023x1023,6513,5219
47,1023x1023,6575,5195
48,1023x1023,6599,5180
49,1023x1023,6763,5203
