Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
200,512x512,851,679
201,512x512,830,678
202,512x512,843,681
203,512x512,853,681
204,512x512,840,682
205,512x512,846,680
206,512x512,828,682
207,512x512,850,680
208,512x512,849,676
209,512x512,829,682
210,512x512,839,682
211,512x512,856,682
212,512x512,848,682
213,512x512,852,684
214,512x512,850,683
215,512x512,858,684
216,512x512,858,684
217,512x512,861,683
218,512x512,851,683
219,512x512,852,683
220,512x512,854,684
221,512x512,859,683
222,512x512,861,684
223,512x512,851,683
224,512x512,854,683
225,512x512,854,683
226,512x512,855,686
227,512x512,850,678
228,512x512,851,682
229,512x512,1101,683
230,512x512,850,684
231,512x512,834,683
232,512x512,847,1049
233,512x512,1005,692
234,512x512,835,694
235,512x512,851,680
236,512x512,827,683
237,512x512,856,683
238,512x512,851,684
239,512x512,851,683
240,512x512,853,683
241,512x512,850,685
242,512x512,851,684
243,512x512,838,683
244,512x512,878,682
245,512x512,851,685
246,512x512,835,682
247,512x512,864,680
248,512x512,867,680
249,512x512,864,679
250,512x512,828,678
251,512x512,853,682
252,512x512,849,683
253,512x512,855,678
254,512x512,846,675
255,512x512,845,678
256,512x512,846,676
257,512x512,845,766
258,512x512,822,787
259,512x512,848,776
260,512x512,834,772
261,512x512,846,853
262,512x512,873,788
263,512x512,834,767
264,512x512,847,789
265,512x512,851,788
266,512x512,856,789
267,512x512,860,796
268,512x512,851,785
269,512x512,850,785
270,512x512,849,782
271,512x512,833,794
272,512x512,848,778
273,512x512,855,777
274,512x512,819,783
275,512x512,844,786
276,512x512,846,785
277,512x512,846,785
278,512x512,851,782
279,512x512,850,785
280,512x512,830,786
281,512x512,850,784
282,512x512,851,778
283,512x512,846,785
284,512x512,846,791
285,512x512,845,784
286,512x512,849,784
287,512x512,849,786
288,512x512,846,778
289,512x512,836,771
290,512x512,807,765
291,512x512,807,781
292,512x512,837,761
293,512x512,839,763
294,512x512,828,766
295,512x512,824,767
296,512x512,827,768
297,512x512,831,767
298,512x512,812,780
299,512x512,834,776
