Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
300,512x512,855,792
301,512x512,821,794
302,512x512,848,785
303,512x512,858,789
304,512x512,853,779
305,512x512,833,789
306,512x512,853,776
307,512x512,849,779
308,512x512,847,784
309,512x512,848,783
310,512x512,855,779
311,512x512,851,776
312,512x512,860,785
313,512x512,856,790
314,512x512,822,777
315,512x512,847,782
316,512x512,859,780
317,512x512,850,779
318,512x512,857,791
319,512x512,848,779
320,512x512,850,788
321,512x512,856,782
322,512x512,858,790
323,512x512,852,787
324,512x512,850,789
325,512x512,850,787
326,512x512,852,786
327,512x512,849,781
328,512x512,851,781
329,512x512,848,789
330,512x512,852,789
331,512x512,856,780
332,512x512,850,790
333,512x512,848,790
334,512x512,848,788
335,512x512,847,781
336,512x512,855,781
337,512x512,858,781
338,512x512,855,781
339,512x512,853,788
340,512x512,852,790
341,512x512,853,789
342,512x512,854,789
343,512x512,849,792
344,512x512,851,784
345,512x512,854,790
346,512x512,851,771
347,512x512,857,776
348,512x512,820,788
349,512x512,851,785
350,512x512,855,783
351,512x512,846,786
352,512x512,818,781
353,512x512,840,781
354,512x512,831,800
355,512x512,855,781
356,512x512,858,787
357,512x512,856,786
358,512x512,848,787
359,512x512,851,787
360,512x512,851,784
361,512x512,850,788
362,512x512,855,789
363,512x512,849,778
364,512x512,858,779
365,512x512,844,784
366,512x512,850,795
367,512x512,849,785
368,512x512,848,783
369,512x512,848,782
370,512x512,855,789
371,512x512,847,783
372,512x512,856,798
373,512x512,845,789
374,512x512,843,782
375,512x512,854,799
376,512x512,855,788
377,512x512,838,781
378,512x512,852,798
379,512x512,826,785
380,512x512,849,793
381,512x512,848,785
382,512x512,837,803
383,512x512,845,782
384,512x512,850,776
385,512x512,851,792
386,512x512,851,783
387,512x512,850,791
388,512x512,850,782
389,512x512,845,786
390,512x512,848,783
391,512x512,847,783
392,512x512,853,783
393,512x512,848,782
394,512x512,843,783
395,512x512,848,774
396,512x512,844,785
397,512x512,848,783
398,512x512,850,786
399,512x512,848,799
400,512x512,855,789
401,512x512,831,786
402,512x512,846,784
403,512x512,855,789
404,512x512,854,790
405,512x512,851,787
406,512x512,849,795
407,512x512,853,793
408,512x512,842,782
409,512x512,851,788
410,512x512,851,784
411,512x512,850,789
412,512x512,853,798
413,512x512,839,795
414,512x512,847,776
415,512x512,850,787
416,512x512,851,771
417,512x512,844,796
418,512x512,834,786
419,512x512,849,776
420,512x512,846,789
421,512x512,837,788
422,512x512,829,772
423,512x512,828,772
424,512x512,839,787
425,512x512,825,766
426,512x512,832,770
427,512x512,812,783
428,512x512,833,767
429,512x512,830,765
430,512x512,832,763
431,512x512,830,767
432,512x512,831,766
433,512x512,826,754
434,512x512,834,763
435,512x512,832,765
436,512x512,828,769
437,512x512,826,768
438,512x512,832,768
439,512x512,834,761
440,512x512,830,764
441,512x512,835,773
442,512x512,839,773
443,512x512,838,773
444,512x512,826,765
445,512x512,824,773
446,512x512,836,771
447,512x512,837,771
448,512x512,809,774
449,512x512,835,768
