Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
450,512x512,843,773
451,512x512,835,773
452,512x512,834,768
453,512x512,837,768
454,512x512,839,773
455,512x512,833,782
456,512x512,835,771
457,512x512,833,774
458,512x512,843,776
459,512x512,837,777
460,512x512,831,770
461,512x512,826,760
462,512x512,830,766
463,512x512,828,761
464,512x512,815,759
465,512x512,817,776
466,512x512,819,777
467,512x512,828,761
468,512x512,825,756
469,512x512,825,764
470,512x512,836,755
471,512x512,830,769
472,512x512,832,766
473,512x512,827,761
474,512x512,828,778
475,512x512,826,767
476,512x512,827,770
477,512x512,827,754
478,512x512,822,763
479,512x512,828,765
480,512x512,826,764
481,512x512,823,764
482,512x512,826,778
483,512x512,823,769
484,512x512,833,761
485,512x512,831,763
486,512x512,822,763
487,512x512,823,761
488,512x512,824,768
489,512x512,822,758
490,512x512,823,759
491,512x512,832,772
492,512x512,828,759
493,512x512,831,781
494,512x512,830,771
495,512x512,828,766
496,512x512,835,765
497,512x512,831,775
498,512x512,827,760
499,512x512,828,762
500,512x512,829,770
501,512x512,827,758
502,512x512,816,764
503,512x512,824,763
504,512x512,822,761
505,512x512,829,779
506,512x512,817,776
507,512x512,830,759
508,512x512,837,788
509,512x512,831,766
510,512x512,837,772
511,512x512,831,787
512,512x512,833,763
513,512x512,834,836
514,512x512,838,838
515,512x512,834,837
516,512x512,839,842
517,512x512,821,820
518,512x512,830,847
519,512x512,834,841
520,512x512,824,833
521,512x512,834,836
522,512x512,821,839
523,512x512,839,842
524,512x512,831,836
525,512x512,834,834
526,512x512,829,835
527,512x512,813,823
528,512x512,833,839
529,512x512,823,828
530,512x512,833,833
531,512x512,832,830
532,512x512,824,828
533,512x512,812,818
534,512x512,822,827
535,512x512,827,831
536,512x512,826,831
537,512x512,822,828
538,512x512,830,843
539,512x512,827,830
540,512x512,831,837
541,512x512,830,831
542,512x512,828,847
543,512x512,830,853
544,512x512,829,844
545,512x512,832,838
546,512x512,832,830
547,512x512,830,834
548,512x512,835,833
549,512x512,822,827
