Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
150,512x512,838,669
151,512x512,834,671
152,512x512,818,667
153,512x512,832,666
154,512x512,831,669
155,512x512,832,667
156,512x512,814,669
157,512x512,841,667
158,512x512,839,673
159,512x512,812,674
160,512x512,833,668
161,512x512,838,667
162,512x512,832,666
163,512x512,831,665
164,512x512,834,665
165,512x512,822,666
166,512x512,836,668
167,512x512,847,668
168,512x512,841,667
169,512x512,832,673
170,512x512,832,666
171,512x512,832,665
172,512x512,849,682
173,512x512,846,678
174,512x512,818,682
175,512x512,851,683
176,512x512,850,683
177,512x512,857,682
178,512x512,850,683
179,512x512,859,681
180,512x512,850,679
181,512x512,846,677
182,512x512,851,684
183,512x512,851,681
184,512x512,856,681
185,512x512,852,680
186,512x512,857,681
187,512x512,850,681
188,512x512,851,682
189,512x512,851,682
190,512x512,842,682
191,512x512,852,681
192,512x512,851,681
193,512x512,854,681
194,512x512,855,684
195,512x512,853,682
196,512x512,855,683
197,512x512,853,683
198,512x512,851,682
199,512x512,854,682
200,512x512,857,683
201,512x512,849,683
202,512x512,849,682
203,512x512,855,683
204,512x512,852,685
205,512x512,856,684
206,512x512,857,683
207,512x512,858,684
208,512x512,853,683
209,512x512,857,681
210,512x512,856,683
211,512x512,853,685
212,512x512,859,682
213,512x512,853,683
214,512x512,852,682
215,512x512,852,684
216,512x512,850,683
217,512x512,858,683
218,512x512,849,684
219,512x512,852,681
220,512x512,858,681
221,512x512,853,682
222,512x512,818,681
223,512x512,851,676
224,512x512,852,679
225,512x512,855,684
226,512x512,852,677
227,512x512,853,675
228,512x512,824,676
229,512x512,843,677
230,512x512,842,682
231,512x512,851,682
232,512x512,857,683
233,512x512,856,683
234,512x512,853,681
235,512x512,856,683
236,512x512,851,680
237,512x512,852,678
238,512x512,850,681
239,512x512,859,681
240,512x512,855,682
241,512x512,818,677
242,512x512,847,678
243,512x512,848,681
244,512x512,851,682
245,512x512,847,677
246,512x512,850,678
247,512x512,852,683
248,512x512,821,677
249,512x512,851,679
250,512x512,848,680
251,512x512,839,676
252,512x512,828,680
253,512x512,849,683
254,512x512,853,677
255,512x512,849,680
256,512x512,847,683
257,512x512,848,788
258,512x512,848,787
259,512x512,847,778
260,512x512,854,782
261,512x512,838,795
262,512x512,818,800
263,512x512,847,789
264,512x512,836,777
265,512x512,854,788
266,512x512,854,782
267,512x512,851,783
268,512x512,818,784
269,512x512,847,793
270,512x512,847,780
271,512x512,847,781
272,512x512,847,778
273,512x512,847,783
274,512x512,845,779
275,512x512,846,800
276,512x512,852,782
277,512x512,848,786
278,512x512,853,788
279,512x512,846,789
280,512x512,852,791
281,512x512,852,789
282,512x512,853,788
283,512x512,851,783
284,512x512,848,793
285,512x512,842,788
286,512x512,853,788
287,512x512,853,790
288,512x512,852,787
289,512x512,853,778
290,512x512,856,773
291,512x512,843,799
292,512x512,849,785
293,512x512,839,793
294,512x512,845,776
295,512x512,846,783
296,512x512,840,793
297,512x512,846,775
298,512x512,840,775
299,512x512,835,780
