Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
5,512x512,832,4056
6,512x512,817,4077
7,512x512,826,4059
8,512x512,821,4120
9,512x512,842,1779
10,512x512,838,1784
11,512x512,850,1783
12,512x512,839,1784
13,512x512,838,1796
14,512x512,850,1801
15,512x512,846,1805
16,512x512,851,1811
17,512x512,846,1002
18,512x512,845,998
19,512x512,836,1003
20,512x512,854,1005
21,512x512,857,1004
22,512x512,860,1004
23,512x512,854,1005
24,512x512,853,1006
25,512x512,856,1004
26,512x512,836,1004
27,512x512,855,1005
28,512x512,855,1003
29,512x512,856,1006
30,512x512,859,1004
31,512x512,857,1004
32,512x512,852,1003
33,512x512,856,741
34,512x512,834,741
35,512x512,1021,821
36,512x512,848,744
37,512x512,822,745
38,512x512,854,1113
39,512x512,983,760
40,512x512,839,747
41,512x512,855,740
42,512x512,854,745
43,512x512,860,744
44,512x512,852,744
45,512x512,855,744
46,512x512,855,744
47,512x512,858,744
48,512x512,857,742
49,512x512,851,762
50,512x512,850,745
51,512x512,874,748
52,512x512,845,748
53,512x512,862,743
54,512x512,852,759
55,512x512,848,740
56,512x512,831,743
57,512x512,850,747
58,512x512,857,738
59,512x512,844,737
60,512x512,846,738
61,512x512,851,739
62,512x512,826,740
63,512x512,847,740
64,512x512,853,742
65,512x512,845,667
66,512x512,846,731
67,512x512,872,680
68,512x512,852,671
69,512x512,849,673
70,512x512,836,674
71,512x512,851,675
72,512x512,862,679
73,512x512,902,673
74,512x512,866,674
75,512x512,852,672
76,512x512,847,666
77,512x512,846,667
78,512x512,859,670
79,512x512,852,668
80,512x512,845,670
81,512x512,848,671
82,512x512,848,669
83,512x512,850,669
84,512x512,847,671
85,512x512,831,669
86,512x512,848,668
87,512x512,851,669
88,512x512,847,669
89,512x512,831,669
90,512x512,853,670
91,512x512,847,668
92,512x512,851,670
93,512x512,849,670
94,512x512,853,671
95,512x512,856,669
96,512x512,843,658
97,512x512,833,656
98,512x512,835,658
99,512x512,848,659
