Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
5,512x512,822,4069
6,512x512,811,4069
7,512x512,826,4077
8,512x512,803,4058
9,512x512,825,1774
10,512x512,827,1772
11,512x512,837,1767
12,512x512,833,1776
13,512x512,835,1779
14,512x512,839,1780
15,512x512,832,1774
16,512x512,817,1762
17,512x512,831,978
18,512x512,830,979
19,512x512,832,986
20,512x512,839,987
21,512x512,836,981
22,512x512,837,981
23,512x512,834,981
24,512x512,828,1001
25,512x512,831,997
26,512x512,824,1005
27,512x512,853,1005
28,512x512,849,1004
29,512x512,852,1005
30,512x512,846,1008
31,512x512,858,998
32,512x512,848,1004
33,512x512,851,744
34,512x512,851,742
35,512x512,851,742
36,512x512,851,742
37,512x512,833,743
38,512x512,848,743
39,512x512,852,744
40,512x512,851,744
41,512x512,850,743
42,512x512,852,742
43,512x512,849,745
44,512x512,854,743
45,512x512,853,745
46,512x512,849,744
47,512x512,859,744
48,512x512,852,743
49,512x512,850,744
50,512x512,850,742
51,512x512,854,743
52,512x512,853,743
53,512x512,853,745
54,512x512,863,745
55,512x512,851,742
56,512x512,852,742
57,512x512,860,743
58,512x512,851,742
59,512x512,853,745
60,512x512,855,743
61,512x512,851,744
62,512x512,851,744
63,512x512,863,743
64,512x512,853,744
65,512x512,837,672
66,512x512,856,673
67,512x512,852,673
68,512x512,862,671
69,512x512,852,672
70,512x512,853,670
71,512x512,847,669
72,512x512,847,668
73,512x512,852,669
74,512x512,849,673
75,512x512,835,669
76,512x512,852,665
77,512x512,845,667
78,512x512,844,668
79,512x512,821,670
80,512x512,850,673
81,512x512,852,671
82,512x512,851,672
83,512x512,830,672
84,512x512,852,675
85,512x512,852,672
86,512x512,854,670
87,512x512,853,674
88,512x512,856,676
89,512x512,852,669
90,512x512,848,674
91,512x512,847,669
92,512x512,847,672
93,512x512,855,672
94,512x512,820,668
95,512x512,849,671
96,512x512,851,672
97,512x512,849,668
98,512x512,850,669
99,512x512,831,668
100,512x512,836,668
101,512x512,845,670
102,512x512,849,673
103,512x512,853,669
104,512x512,849,673
105,512x512,846,671
106,512x512,850,674
107,512x512,849,671
108,512x512,849,670
109,512x512,846,673
110,512x512,830,670
111,512x512,846,668
112,512x512,843,666
113,512x512,852,669
114,512x512,856,673
115,512x512,851,672
116,512x512,851,668
117,512x512,849,677
118,512x512,848,668
119,512x512,846,674
120,512x512,846,667
121,512x512,846,669
122,512x512,856,669
123,512x512,852,668
124,512x512,846,669
125,512x512,833,669
126,512x512,851,671
127,512x512,846,672
128,512x512,846,673
129,512x512,852,679
130,512x512,846,681
131,512x512,827,682
132,512x512,853,681
133,512x512,851,682
134,512x512,851,676
135,512x512,844,688
136,512x512,845,674
137,512x512,847,683
138,512x512,852,683
139,512x512,853,682
140,512x512,851,683
141,512x512,859,675
142,512x512,849,677
143,512x512,848,682
144,512x512,847,680
145,512x512,850,677
146,512x512,855,678
147,512x512,848,678
148,512x512,852,677
149,512x512,847,678
