Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
50,512x512,841,730
51,512x512,834,734
52,512x512,833,726
53,512x512,817,727
54,512x512,833,725
55,512x512,836,729
56,512x512,834,728
57,512x512,835,725
58,512x512,844,731
59,512x512,832,730
60,512x512,838,726
61,512x512,836,729
62,512x512,838,733
63,512x512,845,729
64,512x512,835,728
65,512x512,847,660
66,512x512,834,658
67,512x512,836,659
68,512x512,832,656
69,512x512,834,656
70,512x512,827,656
71,512x512,837,662
72,512x512,833,657
73,512x512,833,656
74,512x512,832,657
75,512x512,832,657
76,512x512,836,659
77,512x512,834,659
78,512x512,833,656
79,512x512,839,654
80,512x512,807,655
81,512x512,829,655
82,512x512,816,651
83,512x512,828,650
84,512x512,809,652
85,512x512,824,652
86,512x512,823,651
87,512x512,829,650
88,512x512,823,650
89,512x512,806,650
90,512x512,824,650
91,512x512,829,649
92,512x512,830,652
93,512x512,816,659
94,512x512,833,650
95,512x512,826,657
96,512x512,835,658
97,512x512,839,655
98,512x512,829,655
99,512x512,832,658
