Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
500,512x512,855,783
501,512x512,853,782
502,512x512,847,781
503,512x512,846,782
504,512x512,833,768
505,512x512,848,783
506,512x512,855,783
507,512x512,845,785
508,512x512,849,788
509,512x512,846,776
510,512x512,851,780
511,512x512,821,799
512,512x512,841,785
513,512x512,847,854
514,512x512,834,834
515,512x512,821,830
516,512x512,834,839
517,512x512,824,839
518,512x512,841,847
519,512x512,847,861
520,512x512,824,829
521,512x512,848,857
522,512x512,828,835
523,512x512,853,856
524,512x512,854,863
525,512x512,854,868
526,512x512,860,859
527,512x512,847,852
528,512x512,821,826
529,512x512,846,853
530,512x512,852,856
531,512x512,856,859
532,512x512,852,858
533,512x512,846,850
534,512x512,850,857
535,512x512,817,825
536,512x512,845,853
537,512x512,845,849
538,512x512,852,861
539,512x512,845,851
540,512x512,821,828
541,512x512,847,852
542,512x512,850,854
543,512x512,846,876
544,512x512,841,847
545,512x512,820,837
546,512x512,820,826
547,512x512,849,860
548,512x512,850,860
549,512x512,833,836
