Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
200,1025x1025,7306,5041
201,1025x1025,7227,5065
202,1025x1025,7229,5126
203,1025x1025,7204,5080
204,1025x1025,7135,5038
205,1025x1025,7135,5037
206,1025x1025,7102,5039
207,1025x1025,7126,5038
208,1025x1025,7096,5035
209,1025x1025,7145,5038
210,1025x1025,7106,5038
211,1025x1025,7157,5039
212,1025x1025,7111,5043
213,1025x1025,7116,5058
214,1025x1025,7115,5039
215,1025x1025,7123,5043
216,1025x1025,7098,5036
217,1025x1025,7136,5038
218,1025x1025,7102,5035
219,1025x1025,7130,5039
220,1025x1025,7112,5034
221,1025x1025,7121,5040
222,1025x1025,7111,5042
223,1025x1025,7110,5030
224,1025x1025,7130,5042
225,1025x1025,7134,5039
226,1025x1025,7134,5047
227,1025x1025,7136,5077
228,1025x1025,7304,5109
229,1025x1025,7288,5063
230,1025x1025,7344,5078
231,1025x1025,7199,5055
232,1025x1025,7156,5117
233,1025x1025,7239,5226
234,1025x1025,7277,5127
235,1025x1025,7280,5032
236,1025x1025,7155,5052
237,1025x1025,7141,5028
238,1025x1025,7206,5036
239,1025x1025,7073,4999
240,1025x1025,7087,4997
241,1025x1025,7255,5028
242,1025x1025,7236,5042
243,1025x1025,7187,5040
244,1025x1025,7224,5009
245,1025x1025,7374,4998
246,1025x1025,7183,5030
247,1025x1025,7086,4963
248,1025x1025,7064,4989
249,1025x1025,6942,4982
