Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
400,511x511,846,788
401,511x511,847,797
402,511x511,822,814
403,511x511,827,792
404,511x511,844,801
405,511x511,838,786
406,511x511,850,801
407,511x511,844,802
408,511x511,825,786
409,511x511,838,784
410,511x511,842,799
411,511x511,844,779
412,511x511,830,787
413,511x511,842,797
414,511x511,845,784
415,511x511,814,782
416,511x511,838,786
417,511x511,850,781
418,511x511,815,785
419,511x511,824,814
420,511x511,817,804
421,511x511,848,784
422,511x511,846,786
423,511x511,817,787
424,511x511,851,806
425,511x511,847,791
426,511x511,860,803
427,511x511,845,791
428,511x511,843,805
429,511x511,844,790
430,511x511,848,806
431,511x511,823,794
432,511x511,853,804
433,511x511,851,792
434,511x511,847,786
435,511x511,854,792
436,511x511,848,786
437,511x511,843,791
438,511x511,844,789
439,511x511,848,805
440,511x511,845,810
441,511x511,849,793
442,511x511,846,793
443,511x511,820,805
444,511x511,849,791
445,511x511,852,788
446,511x511,869,795
447,511x511,854,788
448,511x511,824,793
449,511x511,854,785
450,511x511,848,796
451,511x511,848,784
452,511x511,854,785
453,511x511,833,791
454,511x511,824,790
455,511x511,853,789
456,511x511,853,787
457,511x511,849,802
458,511x511,841,799
459,511x511,824,788
460,511x511,854,785
461,511x511,825,791
462,511x511,835,805
463,511x511,851,786
464,511x511,853,800
465,511x511,851,792
466,511x511,840,790
467,511x511,847,807
468,511x511,847,791
469,511x511,853,787
470,511x511,849,807
471,511x511,844,791
472,511x511,852,807
473,511x511,840,785
474,511x511,834,806
475,511x511,847,800
476,511x511,849,790
477,511x511,841,793
478,511x511,845,787
479,511x511,853,786
480,511x511,848,802
481,511x511,848,786
482,511x511,854,783
483,511x511,836,787
484,511x511,847,784
485,511x511,848,786
486,511x511,822,809
487,511x511,846,806
488,511x511,846,788
489,511x511,849,792
490,511x511,835,790
491,511x511,856,808
492,511x511,854,786
493,511x511,843,788
494,511x511,845,791
495,511x511,853,787
496,511x511,826,785
497,511x511,852,792
498,511x511,854,794
499,511x511,846,783
500,511x511,846,785
501,511x511,851,807
502,511x511,841,790
503,511x511,825,791
504,511x511,835,788
505,511x511,857,791
506,511x511,854,785
507,511x511,848,791
508,511x511,853,791
509,511x511,855,785
510,511x511,847,792
511,511x511,848,792
512,511x511,849,858
513,511x511,850,863
514,511x511,847,857
515,511x511,849,858
516,511x511,848,856
517,511x511,848,856
518,511x511,847,855
519,511x511,847,856
520,511x511,848,857
521,511x511,849,856
522,511x511,850,859
523,511x511,850,859
524,511x511,849,853
525,511x511,827,841
526,511x511,847,856
527,511x511,814,824
528,511x511,829,827
529,511x511,818,827
530,511x511,813,823
531,511x511,848,858
532,511x511,847,856
533,511x511,850,860
534,511x511,845,856
535,511x511,855,860
536,511x511,843,855
537,511x511,848,855
538,511x511,849,855
539,511x511,847,859
540,511x511,851,864
541,511x511,852,864
542,511x511,853,863
543,511x511,849,859
544,511x511,843,854
545,511x511,853,859
546,511x511,848,858
547,511x511,851,856
548,511x511,843,858
549,511x511,844,856
