Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
450,1023x1023,6652,5908
451,1023x1023,6777,5699
452,1023x1023,6677,5675
453,1023x1023,6660,5625
454,1023x1023,6724,5687
455,1023x1023,6686,5666
456,1023x1023,6720,5662
457,1023x1023,6667,5686
458,1023x1023,6694,5666
459,1023x1023,6670,5678
460,1023x1023,6681,5730
461,1023x1023,6684,5730
462,1023x1023,6665,5667
463,1023x1023,6676,5740
464,1023x1023,6668,5696
465,1023x1023,6725,5743
466,1023x1023,6723,5680
467,1023x1023,6668,5649
468,1023x1023,6672,5712
469,1023x1023,6678,5735
470,1023x1023,6669,5726
471,1023x1023,6695,5689
472,1023x1023,6681,5733
473,1023x1023,6675,5749
474,1023x1023,6676,5738
475,1023x1023,6665,5709
476,1023x1023,6673,5747
477,1023x1023,6674,5743
478,1023x1023,6664,5700
479,1023x1023,6720,5709
480,1023x1023,6671,5726
481,1023x1023,6674,5708
482,1023x1023,6692,5648
483,1023x1023,6666,5694
484,1023x1023,6673,5653
485,1023x1023,6721,5646
486,1023x1023,6698,5651
487,1023x1023,6689,5743
488,1023x1023,6731,5699
489,1023x1023,6726,5715
490,1023x1023,6674,5748
491,1023x1023,6680,5738
492,1023x1023,6698,5674
493,1023x1023,6728,5712
494,1023x1023,6682,5645
495,1023x1023,6673,5720
496,1023x1023,6670,5708
497,1023x1023,6670,5598
498,1023x1023,6472,5510
499,1023x1023,6386,5464
