Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
400,1025x1025,7088,5495
401,1025x1025,7013,5505
402,1025x1025,7019,5503
403,1025x1025,7014,5502
404,1025x1025,7008,5493
405,1025x1025,7044,5501
406,1025x1025,7013,5504
407,1025x1025,7009,5506
408,1025x1025,7025,5501
409,1025x1025,7022,5497
410,1025x1025,7050,5464
411,1025x1025,7057,5457
412,1025x1025,7079,5480
413,1025x1025,7036,5492
414,1025x1025,7034,5481
415,1025x1025,7053,5503
416,1025x1025,7001,5501
417,1025x1025,7002,5505
418,1025x1025,7027,5504
419,1025x1025,7011,5501
420,1025x1025,7076,5482
421,1025x1025,7010,5494
422,1025x1025,6990,5514
423,1025x1025,7021,5477
424,1025x1025,7125,5474
425,1025x1025,7028,5494
426,1025x1025,7003,5505
427,1025x1025,6996,5509
428,1025x1025,7008,5503
429,1025x1025,7007,5496
430,1025x1025,7021,5502
431,1025x1025,7001,5501
432,1025x1025,7024,5499
433,1025x1025,6992,5497
434,1025x1025,7033,5501
435,1025x1025,7002,5504
436,1025x1025,7000,5502
437,1025x1025,6999,5505
438,1025x1025,7000,5501
439,1025x1025,7015,5500
440,1025x1025,7012,5497
441,1025x1025,7010,5498
442,1025x1025,7024,5501
443,1025x1025,7006,5497
444,1025x1025,7008,5499
445,1025x1025,7013,5504
446,1025x1025,7033,5397
447,1025x1025,6731,5271
448,1025x1025,6661,5271
449,1025x1025,6655,5289
