Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
200,1023x1023,6681,4843
201,1023x1023,6682,4879
202,1023x1023,6663,4869
203,1023x1023,6633,4883
204,1023x1023,6687,4886
205,1023x1023,6668,4892
206,1023x1023,6680,4885
207,1023x1023,6738,4890
208,1023x1023,6662,4888
209,1023x1023,6682,4885
210,1023x1023,6660,4892
211,1023x1023,6670,4893
212,1023x1023,6668,4890
213,1023x1023,6658,4887
214,1023x1023,6655,4891
215,1023x1023,6666,4891
216,1023x1023,6664,4887
217,1023x1023,6672,4889
218,1023x1023,6664,4891
219,1023x1023,6681,4888
220,1023x1023,6675,4886
221,1023x1023,6663,4888
222,1023x1023,6687,4889
223,1023x1023,6686,4891
224,1023x1023,6664,4888
225,1023x1023,6669,4891
226,1023x1023,6657,4887
227,1023x1023,6663,4889
228,1023x1023,6661,4886
229,1023x1023,6649,4887
230,1023x1023,6676,282959
231,1023x1023,6676,4889
232,1023x1023,6658,4889
233,1023x1023,6922,5095
234,1023x1023,7188,104526
235,1023x1023,7446,4890
236,1023x1023,6672,4892
237,1023x1023,6679,5229
238,1023x1023,6673,4875
239,1023x1023,6683,4851
240,1023x1023,6648,4858
241,1023x1023,6652,4866
242,1023x1023,6633,4857
243,1023x1023,6649,4854
244,1023x1023,6658,4858
245,1023x1023,6687,4887
246,1023x1023,6663,4884
247,1023x1023,6674,4888
248,1023x1023,6679,4885
249,1023x1023,6663,4893
