Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
50,1025x1025,7114,5946
51,1025x1025,7023,5924
52,1025x1025,6901,5937
53,1025x1025,7156,5975
54,1025x1025,7025,6010
55,1025x1025,7229,6011
56,1025x1025,7196,5976
57,1025x1025,7129,5911
58,1025x1025,6880,5950
59,1025x1025,6995,5939
60,1025x1025,7195,5965
61,1025x1025,7116,5990
62,1025x1025,7063,6049
63,1025x1025,7272,6039
64,1025x1025,7094,6096
65,1025x1025,7159,6096
66,1025x1025,7146,5232
67,1025x1025,7355,5169
68,1025x1025,7167,5182
69,1025x1025,7119,5152
70,1025x1025,7088,5151
71,1025x1025,7093,5166
72,1025x1025,7086,5151
73,1025x1025,7102,5172
74,1025x1025,7141,5143
75,1025x1025,7118,5151
76,1025x1025,7131,5148
77,1025x1025,7119,5153
78,1025x1025,7119,5151
79,1025x1025,7125,5151
80,1025x1025,7120,5157
81,1025x1025,7128,5152
82,1025x1025,7151,5150
83,1025x1025,7111,5152
84,1025x1025,7170,5146
85,1025x1025,7126,5156
86,1025x1025,7140,5150
87,1025x1025,7130,5148
88,1025x1025,7146,5150
89,1025x1025,7114,5146
90,1025x1025,7166,5154
91,1025x1025,7180,5158
92,1025x1025,7309,5239
93,1025x1025,7207,5201
94,1025x1025,7278,5225
95,1025x1025,7211,5196
96,1025x1025,7169,5183
97,1025x1025,7285,5259
98,1025x1025,7437,5221
99,1025x1025,7377,5146
