Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
50,1024x1024,6574,5169
50,1024x1024,6536,5216
50,1024x1024,6574,5172
50,1024x1024,6533,5164
51,1024x1024,6572,5170
51,1024x1024,6568,5171
51,1024x1024,6645,5195
51,1024x1024,6645,5167
51,1024x1024,6554,5126
52,1024x1024,6478,5183
52,1024x1024,6522,5155
52,1024x1024,6492,5142
52,1024x1024,6487,5146
52,1024x1024,6477,5134
53,1024x1024,6490,5132
53,1024x1024,6485,5137
53,1024x1024,6511,5142
53,1024x1024,6512,5125
53,1024x1024,6496,5121
54,1024x1024,6515,5133
54,1024x1024,6504,5142
54,1024x1024,6502,5135
54,1024x1024,6474,5098
54,1024x1024,6469,5160
55,1024x1024,6538,5100
55,1024x1024,6437,5095
55,1024x1024,6462,5133
55,1024x1024,6561,5141
55,1024x1024,6553,5172
56,1024x1024,6520,5193
56,1024x1024,6531,5166
56,1024x1024,6527,5159
56,1024x1024,6522,5168
56,1024x1024,6529,5161
57,1024x1024,6547,5161
57,1024x1024,6552,5169
57,1024x1024,6548,5164
57,1024x1024,6567,5166
57,1024x1024,6561,5167
58,1024x1024,6536,5175
58,1024x1024,6554,5166
58,1024x1024,6537,5193
58,1024x1024,6552,5163
58,1024x1024,6549,5161
59,1024x1024,6554,5172
59,1024x1024,6551,5164
59,1024x1024,6547,5162
59,1024x1024,6550,5163
59,1024x1024,6542,5163
60,1024x1024,6541,5164
60,1024x1024,6537,5166
60,1024x1024,6538,5197
60,1024x1024,6551,5186
60,1024x1024,6650,5316
61,1024x1024,6534,5166
61,1024x1024,6527,5160
61,1024x1024,6525,5165
61,1024x1024,6522,5162
61,1024x1024,6524,5166
62,1024x1024,6555,5165
62,1024x1024,6558,5163
62,1024x1024,6558,5166
62,1024x1024,6557,5160
62,1024x1024,6556,5162
63,1024x1024,6521,5170
63,1024x1024,6527,5162
63,1024x1024,6528,5165
63,1024x1024,6525,5163
63,1024x1024,6527,5162
64,1024x1024,6538,5163
64,1024x1024,6539,5169
64,1024x1024,6563,5173
64,1024x1024,6587,5165
64,1024x1024,6552,5163
65,1024x1024,6550,4674
65,1024x1024,6532,4675
65,1024x1024,6538,4677
65,1024x1024,6533,4676
65,1024x1024,6531,4675
66,1024x1024,6539,4677
66,1024x1024,6584,4676
66,1024x1024,6549,4672
66,1024x1024,6529,4683
66,1024x1024,6586,4675
67,1024x1024,6566,4678
67,1024x1024,6537,4709
67,1024x1024,6578,4688
67,1024x1024,6533,4687
67,1024x1024,6547,4698
68,1024x1024,6571,4878
68,1024x1024,7037,4755
68,1024x1024,6608,4678
68,1024x1024,6541,4691
68,1024x1024,6538,4718
69,1024x1024,6540,4677
69,1024x1024,6532,4676
69,1024x1024,6527,4677
69,1024x1024,6528,4677
69,1024x1024,6524,4672
70,1024x1024,6534,4678
70,1024x1024,6526,4676
70,1024x1024,6527,4677
70,1024x1024,6531,4675
70,1024x1024,6527,4684
71,1024x1024,6520,4678
71,1024x1024,6518,4677
71,1024x1024,6515,4681
71,1024x1024,6520,4674
71,1024x1024,6516,4675
72,1024x1024,6533,4676
72,1024x1024,6522,4676
72,1024x1024,6518,4781
72,1024x1024,6651,4768
72,1024x1024,6562,4678
73,1024x1024,6518,4676
73,1024x1024,6535,4673
73,1024x1024,6518,4677
73,1024x1024,6517,4673
73,1024x1024,6521,4675
74,1024x1024,6519,4677
74,1024x1024,6516,4675
74,1024x1024,6517,4672
74,1024x1024,6512,4687
74,1024x1024,6496,4667
75,1024x1024,6503,4671
75,1024x1024,6864,4716
75,1024x1024,6644,4706
75,1024x1024,6615,4711
75,1024x1024,6619,4705
76,1024x1024,6557,4697
76,1024x1024,6551,4680
76,1024x1024,6541,4688
76,1024x1024,6573,4689
76,1024x1024,6568,4689
77,1024x1024,6624,4728
77,1024x1024,6653,4724
77,1024x1024,6592,4934
77,1024x1024,6687,4732
77,1024x1024,6560,4708
78,1024x1024,6598,4703
78,1024x1024,6598,4710
78,1024x1024,6641,4747
78,1024x1024,6675,4779
78,1024x1024,6768,4780
79,1024x1024,6789,4781
79,1024x1024,6724,4798
79,1024x1024,6747,4787
79,1024x1024,6707,4772
79,1024x1024,6706,4801
80,1024x1024,6690,4724
80,1024x1024,6608,4759
80,1024x1024,6611,4704
80,1024x1024,6552,4710
80,1024x1024,6603,4678
81,1024x1024,6606,4725
81,1024x1024,6647,4705
81,1024x1024,6573,4985
81,1024x1024,6604,4697
81,1024x1024,6575,4698
82,1024x1024,6615,4737
82,1024x1024,6672,4744
82,1024x1024,6618,4711
82,1024x1024,6593,4702
82,1024x1024,6572,4700
83,1024x1024,6562,4701
83,1024x1024,6599,4716
83,1024x1024,6571,4741
83,1024x1024,6635,4733
