Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
5,1024x1024,6640,28922
6,1024x1024,6587,29644
7,1024x1024,6604,29260
8,1024x1024,6514,28940
9,1024x1024,6950,12474
10,1024x1024,6576,12429
11,1024x1024,6519,12417
12,1024x1024,6515,12457
13,1024x1024,6666,12444
14,1024x1024,6500,12409
15,1024x1024,6566,12599
16,1024x1024,6555,12699
17,1024x1024,6690,6937
18,1024x1024,6535,6951
19,1024x1024,6519,6924
20,1024x1024,6520,7003
21,1024x1024,6734,7028
22,1024x1024,6381,7032
23,1024x1024,6575,6957
24,1024x1024,6556,6949
25,1024x1024,6550,6942
26,1024x1024,8014,6938
27,1024x1024,6529,6924
28,1024x1024,6523,6925
29,1024x1024,6672,7000
30,1024x1024,6714,7080
31,1024x1024,6708,6972
32,1024x1024,6573,6965
33,1024x1024,6626,5182
34,1024x1024,6576,5179
35,1024x1024,6565,5173
36,1024x1024,6595,5180
37,1024x1024,6562,5181
38,1024x1024,6558,5173
39,1024x1024,6582,5176
40,1024x1024,6551,5173
41,1024x1024,6630,5235
42,1024x1024,6563,5246
43,1024x1024,6548,5190
44,1024x1024,6619,5204
45,1024x1024,6615,5195
46,1024x1024,6561,5156
47,1024x1024,6521,5153
48,1024x1024,6529,5152
49,1024x1024,6523,5151
50,1024x1024,6515,5146
51,1024x1024,6568,5149
52,1024x1024,6499,5149
53,1024x1024,6522,5150
54,1024x1024,6528,5163
55,1024x1024,6543,5149
56,1024x1024,6518,5149
57,1024x1024,6510,5148
58,1024x1024,6504,5148
59,1024x1024,6530,5146
60,1024x1024,6514,5148
61,1024x1024,6513,5151
62,1024x1024,6518,5154
63,1024x1024,6515,5152
64,1024x1024,6512,5152
65,1024x1024,6512,4536
66,1024x1024,6512,4553
67,1024x1024,6512,4553
68,1024x1024,6513,4538
69,1024x1024,6517,4545
70,1024x1024,6558,4671
71,1024x1024,6539,4669
72,1024x1024,6553,4536
73,1024x1024,6532,4532
74,1024x1024,6510,4567
75,1024x1024,6480,4665
76,1024x1024,6506,4554
77,1024x1024,6488,4544
78,1024x1024,6366,4541
79,1024x1024,6498,4542
80,1024x1024,6475,4544
81,1024x1024,6484,4665
82,1024x1024,6299,4664
83,1024x1024,6500,4660
84,1024x1024,6532,4660
85,1024x1024,6479,4658
86,1024x1024,6309,4704
87,1024x1024,6617,4667
88,1024x1024,6477,4672
89,1024x1024,6487,4659
90,1024x1024,6720,5675
91,1024x1024,7089,4688
92,1024x1024,6706,4671
93,1024x1024,6577,4687
94,1024x1024,6559,4649
95,1024x1024,6496,4649
96,1024x1024,6540,4667
97,1024x1024,6691,4717
98,1024x1024,6619,4690
99,1024x1024,6606,4691
100,1024x1024,6663,4689
100,1024x1024,6578,4662
101,1024x1024,6499,4661
102,1024x1024,6621,4704
103,1024x1024,6536,4669
104,1024x1024,6587,4713
105,1024x1024,6560,4683
106,1024x1024,6546,4676
107,1024x1024,6800,4723
108,1024x1024,6550,4686
109,1024x1024,6525,4701
110,1024x1024,6619,4680
111,1024x1024,6574,4678
112,1024x1024,6573,4682
113,1024x1024,6582,4754
114,1024x1024,6574,4706
115,1024x1024,6622,4740
116,1024x1024,6675,4681
117,1024x1024,6594,4693
118,1024x1024,6580,4688
119,1024x1024,6539,4722
120,1024x1024,6642,4704
121,1024x1024,6555,4700
122,1024x1024,6597,4707
123,1024x1024,6634,4708
124,1024x1024,6607,4701
125,1024x1024,6641,4711
126,1024x1024,6660,4772
127,1024x1024,6626,4702
128,1024x1024,6594,4695
129,1024x1024,6599,4783
130,1024x1024,6602,4753
131,1024x1024,6551,4789
132,1024x1024,6599,4773
133,1024x1024,6550,4764
134,1024x1024,6572,4769
135,1024x1024,6649,4760
136,1024x1024,6524,4775
137,1024x1024,6611,4765
138,1024x1024,6610,4780
139,1024x1024,6593,4778
140,1024x1024,6625,4765
141,1024x1024,6593,4787
142,1024x1024,6662,4772
143,1024x1024,6631,4783
144,1024x1024,6636,4775
145,1024x1024,6613,4769
146,1024x1024,6661,4758
147,1024x1024,6605,4770
148,1024x1024,6623,4764
149,1024x1024,6558,4752
150,1024x1024,6630,4745
151,1024x1024,6534,4743
152,1024x1024,6558,4742
153,1024x1024,6584,4743
154,1024x1024,6538,4742
155,1024x1024,6532,4743
156,1024x1024,6527,4739
157,1024x1024,6530,4763
158,1024x1024,6541,4745
159,1024x1024,6553,4744
160,1024x1024,6533,4748
161,1024x1024,6545,4742
162,1024x1024,6548,4769
163,1024x1024,6592,4745
164,1024x1024,6545,4742
165,1024x1024,6536,4752
166,1024x1024,6544,4747
167,1024x1024,6531,4742
168,1024x1024,6523,4742
169,1024x1024,6535,4739
170,1024x1024,6528,4742
171,1024x1024,6535,4742
172,1024x1024,6527,4753
173,1024x1024,6603,4743
174,1024x1024,6683,4741
175,1024x1024,6610,4750
176,1024x1024,6531,4746
177,1024x1024,6522,4743
178,1024x1024,6535,4749
179,1024x1024,6521,4741
180,1024x1024,6530,4744
181,1024x1024,6540,4742
182,1024x1024,6528,4743
183,1024x1024,6519,4742
184,1024x1024,6537,4744
185,1024x1024,6577,4743
186,1024x1024,6581,4747
187,1024x1024,6534,4745
188,1024x1024,6547,4747
189,1024x1024,6523,4742
190,1024x1024,6523,4745
191,1024x1024,6576,4745
192,1024x1024,6530,4745
193,1024x1024,6554,4748
194,1024x1024,6598,4745
195,1024x1024,6546,4744
196,1024x1024,6561,4742
197,1024x1024,6534,4742
198,1024x1024,6540,4742
199,1024x1024,6548,4745
200,1024x1024,6530,4745
201,1024x1024,6548,4744
202,1024x1024,6633,4745
203,1024x1024,6589,4743
204,1024x1024,6523,4753
205,1024x1024,6600,4742
206,1024x1024,6613,4744
207,1024x1024,6552,4781
208,1024x1024,6585,4754
209,1024x1024,6565,4766
210,1024x1024,6562,4759
211,1024x1024,6607,5129
212,1024x1024,6876,4778
213,1024x1024,6599,4749
214,1024x1024,6593,4746
215,1024x1024,6569,4773
216,1024x1024,6526,4750
217,1024x1024,6525,4745
218,1024x1024,6548,4746
219,1024x1024,6525,4743
220,1024x1024,6536,4747
221,1024x1024,6538,4744
222,1024x1024,6517,4745
223,1024x1024,6533,4748
224,1024x1024,6528,4742
225,1024x1024,6518,4753
226,1024x1024,6536,4740
227,1024x1024,6519,4741
228,1024x1024,6542,4741
229,1024x1024,6566,4741
230,1024x1024,6561,4740
231,1024x1024,6540,4741
232,1024x1024,6556,4738
233,1024x1024,6604,4834
234,1024x1024,6684,4785
235,1024x1024,6573,4739
236,1024x1024,6525,4747
237,1024x1024,6522,4740
238,1024x1024,6523,4742
239,1024x1024,6508,4744
240,1024x1024,6524,4742
