Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
300,512x512,830,758
301,512x512,827,764
302,512x512,825,764
303,512x512,824,769
304,512x512,830,767
305,512x512,822,758
306,512x512,827,765
307,512x512,827,766
308,512x512,821,767
309,512x512,833,771
310,512x512,840,776
311,512x512,839,773
312,512x512,844,793
313,512x512,829,791
314,512x512,839,765
315,512x512,848,793
316,512x512,847,782
317,512x512,854,779
318,512x512,851,791
319,512x512,847,784
320,512x512,844,804
321,512x512,851,781
322,512x512,846,785
323,512x512,847,790
324,512x512,847,775
325,512x512,844,787
326,512x512,844,785
327,512x512,842,786
328,512x512,849,793
329,512x512,854,789
330,512x512,851,785
331,512x512,829,790
332,512x512,847,786
333,512x512,858,784
334,512x512,844,779
335,512x512,853,782
