Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
350,1023x1023,6442,5470
351,1023x1023,6490,5585
352,1023x1023,6650,5603
353,1023x1023,7029,5674
354,1023x1023,6657,5629
355,1023x1023,6702,5621
356,1023x1023,6740,5701
357,1023x1023,6675,5645
358,1023x1023,6678,5710
359,1023x1023,6651,5645
360,1023x1023,6678,5654
361,1023x1023,6716,5709
362,1023x1023,6716,5609
363,1023x1023,6664,5703
364,1023x1023,6708,5739
365,1023x1023,6721,5718
366,1023x1023,6672,5734
367,1023x1023,6695,5645
368,1023x1023,6687,5706
369,1023x1023,6727,5707
370,1023x1023,6677,5722
371,1023x1023,6668,5666
372,1023x1023,6670,5733
373,1023x1023,6697,5668
374,1023x1023,6720,5699
375,1023x1023,6720,5727
376,1023x1023,6688,5731
377,1023x1023,6667,5747
378,1023x1023,6678,5703
379,1023x1023,6700,5726
380,1023x1023,6672,5723
381,1023x1023,6669,5726
382,1023x1023,6724,5718
383,1023x1023,6686,5698
384,1023x1023,6667,5676
385,1023x1023,6668,5721
386,1023x1023,6666,5679
387,1023x1023,6670,5721
388,1023x1023,6725,5721
389,1023x1023,6685,5734
390,1023x1023,6674,5695
391,1023x1023,6663,5745
392,1023x1023,6692,5656
393,1023x1023,6681,5750
394,1023x1023,6693,5698
395,1023x1023,6673,5691
396,1023x1023,6671,5721
397,1023x1023,6686,5749
398,1023x1023,6719,5749
399,1023x1023,6720,5702
