Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
400,512x512,841,772
401,512x512,835,779
402,512x512,844,778
403,512x512,829,764
404,512x512,842,769
405,512x512,842,778
406,512x512,832,786
407,512x512,852,786
408,512x512,849,781
409,512x512,849,784
410,512x512,851,777
411,512x512,847,785
412,512x512,858,789
413,512x512,833,795
414,512x512,851,786
415,512x512,855,785
416,512x512,844,780
417,512x512,853,783
418,512x512,846,780
419,512x512,849,784
420,512x512,847,793
421,512x512,828,785
422,512x512,852,791
423,512x512,846,776
424,512x512,835,796
425,512x512,849,788
426,512x512,848,798
427,512x512,850,780
428,512x512,850,777
429,512x512,855,786
430,512x512,854,787
431,512x512,855,784
432,512x512,851,808
433,512x512,831,798
434,512x512,848,777
435,512x512,838,782
436,512x512,847,777
437,512x512,860,787
438,512x512,852,782
439,512x512,852,785
440,512x512,856,788
441,512x512,847,794
442,512x512,829,766
443,512x512,827,795
444,512x512,819,787
445,512x512,849,787
446,512x512,849,779
447,512x512,848,780
448,512x512,848,777
449,512x512,844,785
450,512x512,846,776
451,512x512,837,792
452,512x512,822,798
453,512x512,855,785
454,512x512,856,778
455,512x512,858,783
456,512x512,853,795
457,512x512,849,777
458,512x512,841,772
459,512x512,828,771
460,512x512,845,789
461,512x512,831,785
462,512x512,814,789
463,512x512,838,774
464,512x512,833,774
465,512x512,831,770
466,512x512,840,762
467,512x512,834,773
468,512x512,834,771
469,512x512,834,772
470,512x512,838,776
471,512x512,833,770
472,512x512,831,773
473,512x512,834,766
474,512x512,832,770
475,512x512,834,771
476,512x512,840,772
477,512x512,837,773
478,512x512,834,773
479,512x512,837,773
480,512x512,825,781
481,512x512,838,781
482,512x512,845,773
483,512x512,834,774
484,512x512,840,781
485,512x512,845,785
486,512x512,848,778
487,512x512,840,782
488,512x512,812,777
489,512x512,824,781
490,512x512,833,766
491,512x512,845,766
492,512x512,825,760
493,512x512,831,768
494,512x512,842,755
495,512x512,839,763
496,512x512,834,768
497,512x512,820,758
498,512x512,827,764
499,512x512,831,765
