Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
400,1023x1023,6601,5499
401,1023x1023,6649,5729
402,1023x1023,7026,5677
403,1023x1023,6708,5583
404,1023x1023,6696,5645
405,1023x1023,6716,5559
406,1023x1023,6682,5650
407,1023x1023,6694,5687
408,1023x1023,6644,5654
409,1023x1023,6665,5665
410,1023x1023,6673,5669
411,1023x1023,6702,5744
412,1023x1023,6686,5670
413,1023x1023,6673,5746
414,1023x1023,6667,5747
415,1023x1023,6668,5732
416,1023x1023,6673,5722
417,1023x1023,6671,5726
418,1023x1023,6733,5652
419,1023x1023,6684,5692
420,1023x1023,6672,5732
421,1023x1023,6685,5746
422,1023x1023,6678,5696
423,1023x1023,6688,5735
424,1023x1023,6671,5726
425,1023x1023,6687,5726
426,1023x1023,6681,5698
427,1023x1023,6674,5738
428,1023x1023,6682,5735
429,1023x1023,6682,5746
430,1023x1023,6669,5708
431,1023x1023,6682,5696
432,1023x1023,6672,5700
433,1023x1023,6714,5697
434,1023x1023,6681,5699
435,1023x1023,6677,5647
436,1023x1023,6668,5657
437,1023x1023,6678,5668
438,1023x1023,6670,5676
439,1023x1023,6731,5730
440,1023x1023,6672,5729
441,1023x1023,6680,5730
442,1023x1023,6667,5731
443,1023x1023,6665,5738
444,1023x1023,6677,5719
445,1023x1023,6672,5736
446,1023x1023,6704,5737
447,1023x1023,6723,5704
448,1023x1023,6680,5599
449,1023x1023,6468,5508
