Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
200,511x511,830,676
201,511x511,834,674
202,511x511,809,680
203,511x511,838,674
204,511x511,820,676
205,511x511,835,675
206,511x511,840,671
207,511x511,819,674
208,511x511,839,685
209,511x511,829,675
210,511x511,830,673
211,511x511,805,671
212,511x511,828,671
213,511x511,825,671
214,511x511,803,675
215,511x511,833,672
216,511x511,832,672
217,511x511,833,684
218,511x511,841,684
219,511x511,841,681
220,511x511,874,683
221,511x511,847,683
222,511x511,846,685
223,511x511,816,685
224,511x511,817,684
225,511x511,813,683
226,511x511,842,684
227,511x511,814,684
228,511x511,848,683
229,511x511,837,682
230,511x511,834,685
231,511x511,837,683
232,511x511,816,683
233,511x511,843,682
234,511x511,840,682
235,511x511,840,682
236,511x511,850,684
237,511x511,846,682
238,511x511,830,702
239,511x511,849,685
240,511x511,846,682
241,511x511,846,682
242,511x511,851,684
243,511x511,846,689
244,511x511,830,687
245,511x511,850,688
246,511x511,847,695
247,511x511,838,688
248,511x511,845,688
249,511x511,843,688
250,511x511,852,689
251,511x511,851,687
252,511x511,854,686
253,511x511,848,689
254,511x511,841,689
255,511x511,847,688
256,511x511,855,688
257,511x511,835,793
258,511x511,851,789
259,511x511,845,807
260,511x511,852,800
261,511x511,853,794
262,511x511,850,792
263,511x511,851,792
264,511x511,852,808
265,511x511,849,788
266,511x511,858,805
267,511x511,847,790
268,511x511,850,787
269,511x511,844,801
270,511x511,854,805
271,511x511,835,791
272,511x511,847,808
273,511x511,853,792
274,511x511,849,791
275,511x511,842,801
276,511x511,848,807
277,511x511,852,807
278,511x511,849,789
279,511x511,854,792
280,511x511,854,807
281,511x511,843,806
282,511x511,845,784
283,511x511,854,787
284,511x511,855,794
285,511x511,836,809
286,511x511,841,792
287,511x511,822,808
288,511x511,858,804
289,511x511,824,787
290,511x511,854,792
291,511x511,855,810
292,511x511,845,789
293,511x511,847,810
294,511x511,848,787
295,511x511,845,810
296,511x511,849,797
297,511x511,853,810
298,511x511,850,790
299,511x511,852,806
300,511x511,846,792
301,511x511,856,811
302,511x511,823,808
303,511x511,846,788
304,511x511,854,810
305,511x511,847,784
306,511x511,855,793
307,511x511,837,810
308,511x511,853,791
309,511x511,855,802
310,511x511,842,790
311,511x511,847,793
312,511x511,848,807
313,511x511,837,789
314,511x511,851,786
315,511x511,834,809
316,511x511,822,806
317,511x511,843,787
318,511x511,845,808
319,511x511,845,794
320,511x511,846,802
321,511x511,854,785
322,511x511,853,787
323,511x511,854,791
324,511x511,836,801
325,511x511,845,805
326,511x511,844,791
327,511x511,855,792
328,511x511,836,787
329,511x511,851,792
330,511x511,836,789
331,511x511,854,793
332,511x511,853,787
333,511x511,837,807
334,511x511,842,808
335,511x511,853,791
336,511x511,847,809
337,511x511,851,786
338,511x511,826,792
339,511x511,849,806
340,511x511,853,792
341,511x511,854,793
342,511x511,856,791
343,511x511,853,793
344,511x511,851,788
345,511x511,813,801
346,511x511,849,785
347,511x511,813,785
348,511x511,842,788
349,511x511,832,791
350,511x511,848,801
351,511x511,849,785
352,511x511,819,796
353,511x511,840,782
354,511x511,845,802
355,511x511,826,807
356,511x511,850,800
357,511x511,829,798
358,511x511,840,774
359,511x511,843,800
360,511x511,844,781
361,511x511,853,785
362,511x511,831,785
363,511x511,852,788
364,511x511,848,785
365,511x511,830,784
366,511x511,854,787
367,511x511,830,803
368,511x511,841,803
369,511x511,843,805
370,511x511,811,783
371,511x511,828,792
372,511x511,835,790
373,511x511,820,769
374,511x511,819,777
375,511x511,821,775
376,511x511,834,792
377,511x511,832,773
378,511x511,839,773
379,511x511,828,772
380,511x511,832,772
381,511x511,857,786
382,511x511,872,796
383,511x511,883,941
384,511x511,829,801
385,511x511,846,777
386,511x511,839,798
387,511x511,820,762
388,511x511,827,768
389,511x511,806,789
390,511x511,818,767
391,511x511,829,773
392,511x511,829,764
393,511x511,814,804
394,511x511,842,786
395,511x511,809,778
396,511x511,807,792
397,511x511,828,764
398,511x511,835,766
399,511x511,826,780
