Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
350,1025x1025,6943,5365
351,1025x1025,6987,5345
352,1025x1025,6851,5444
353,1025x1025,7025,5506
354,1025x1025,7007,5496
355,1025x1025,6995,5496
356,1025x1025,7032,5507
357,1025x1025,7004,5470
358,1025x1025,7012,5503
359,1025x1025,7005,5496
360,1025x1025,6998,5498
361,1025x1025,7005,5505
362,1025x1025,7014,5502
363,1025x1025,7148,5464
364,1025x1025,7058,5461
365,1025x1025,7096,5469
366,1025x1025,7017,5471
367,1025x1025,7052,5478
368,1025x1025,7015,5506
369,1025x1025,6991,5506
370,1025x1025,7000,5504
371,1025x1025,7006,5498
372,1025x1025,6993,5466
373,1025x1025,7050,5503
374,1025x1025,7006,5508
375,1025x1025,6999,5503
376,1025x1025,7037,5453
377,1025x1025,7149,5493
378,1025x1025,7006,5500
379,1025x1025,7005,5503
380,1025x1025,7006,5504
381,1025x1025,7011,5502
382,1025x1025,7010,5503
383,1025x1025,7017,5504
384,1025x1025,6998,5505
385,1025x1025,7006,5505
386,1025x1025,7014,5505
387,1025x1025,7012,5507
388,1025x1025,7013,5507
389,1025x1025,7002,5504
390,1025x1025,7004,5502
391,1025x1025,7003,5505
392,1025x1025,6998,5502
393,1025x1025,7013,5502
394,1025x1025,7002,5502
395,1025x1025,6994,5503
396,1025x1025,7012,5503
397,1025x1025,7022,5502
398,1025x1025,7001,5500
399,1025x1025,6918,5337
