Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
100,1025x1025,7148,5138
101,1025x1025,7093,5173
102,1025x1025,7257,5160
103,1025x1025,7105,5212
104,1025x1025,7191,5204
105,1025x1025,7153,5224
106,1025x1025,7231,5189
107,1025x1025,7154,5189
108,1025x1025,7116,5151
109,1025x1025,7095,5158
110,1025x1025,7076,5164
111,1025x1025,7075,5152
112,1025x1025,7073,5159
113,1025x1025,7112,5156
114,1025x1025,7126,5153
115,1025x1025,7123,5150
116,1025x1025,7087,5151
117,1025x1025,7128,5154
118,1025x1025,7098,5151
119,1025x1025,7120,5159
120,1025x1025,7088,5154
121,1025x1025,7138,5154
122,1025x1025,7093,5154
123,1025x1025,7136,5149
124,1025x1025,7100,5149
125,1025x1025,7110,5150
126,1025x1025,7093,5155
127,1025x1025,7136,5153
128,1025x1025,7101,5149
129,1025x1025,7149,5156
130,1025x1025,7141,5036
131,1025x1025,7243,5102
132,1025x1025,7233,5079
133,1025x1025,7266,5109
134,1025x1025,7222,5073
135,1025x1025,7171,5058
136,1025x1025,7204,5100
137,1025x1025,7469,5086
138,1025x1025,7423,5033
139,1025x1025,7094,5047
140,1025x1025,7165,5013
141,1025x1025,7141,5058
142,1025x1025,7119,5003
143,1025x1025,7060,5004
144,1025x1025,7101,5048
145,1025x1025,7154,5039
146,1025x1025,7232,5031
147,1025x1025,7204,5030
148,1025x1025,7264,5052
149,1025x1025,7060,5053
