Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
350,1025x1025,6794,5339
351,1025x1025,6994,5381
352,1025x1025,6863,5355
353,1025x1025,6980,5468
354,1025x1025,7017,5501
355,1025x1025,7020,5506
356,1025x1025,7014,5498
357,1025x1025,7039,5501
358,1025x1025,7026,5492
359,1025x1025,7013,5502
360,1025x1025,7013,5504
361,1025x1025,7018,5508
362,1025x1025,7023,5508
363,1025x1025,6991,5472
364,1025x1025,7102,5473
365,1025x1025,7093,5484
366,1025x1025,7091,5493
367,1025x1025,7011,5473
368,1025x1025,7080,5503
369,1025x1025,7009,5499
370,1025x1025,7023,5505
371,1025x1025,7008,5507
372,1025x1025,7025,5503
373,1025x1025,7041,5469
374,1025x1025,7022,5500
375,1025x1025,7013,5507
376,1025x1025,7002,5502
377,1025x1025,7069,5464
378,1025x1025,7052,5503
379,1025x1025,7003,5501
380,1025x1025,6990,5501
381,1025x1025,7008,5507
382,1025x1025,7012,5502
383,1025x1025,7010,5505
384,1025x1025,7004,5497
385,1025x1025,7012,5506
386,1025x1025,7006,5502
387,1025x1025,7023,5498
388,1025x1025,7009,5506
389,1025x1025,6997,5503
390,1025x1025,7006,5506
391,1025x1025,7008,5502
392,1025x1025,7016,5502
393,1025x1025,7018,5504
394,1025x1025,7010,5505
395,1025x1025,7039,5496
396,1025x1025,6988,5506
397,1025x1025,7015,5506
398,1025x1025,7024,5497
399,1025x1025,7012,5505
