Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
5,1025x1025,7002,167705
6,1025x1025,7124,45947
7,1025x1025,7102,46527
8,1025x1025,7217,47040
9,1025x1025,7150,46608
10,1025x1025,7130,17681
11,1025x1025,7104,17627
12,1025x1025,7122,17654
13,1025x1025,7107,17635
14,1025x1025,7100,17641
15,1025x1025,7095,17676
16,1025x1025,7118,17638
17,1025x1025,7111,17635
18,1025x1025,7102,8833
19,1025x1025,7165,8926
20,1025x1025,7299,8906
21,1025x1025,7236,8954
22,1025x1025,7241,8897
23,1025x1025,7156,8913
24,1025x1025,7344,8996
25,1025x1025,7422,8860
26,1025x1025,7150,8831
27,1025x1025,7107,8825
28,1025x1025,7169,8771
29,1025x1025,7107,8789
30,1025x1025,7220,8803
31,1025x1025,7230,8845
32,1025x1025,7177,8811
33,1025x1025,7269,8792
34,1025x1025,7119,5968
35,1025x1025,7003,5929
36,1025x1025,7081,5915
37,1025x1025,6980,5904
38,1025x1025,6854,5877
39,1025x1025,6824,5911
40,1025x1025,7073,5894
41,1025x1025,7132,5897
42,1025x1025,6867,5850
43,1025x1025,6882,5873
44,1025x1025,6839,5837
45,1025x1025,6805,5853
46,1025x1025,6827,5841
47,1025x1025,7057,5931
48,1025x1025,6952,5904
49,1025x1025,6905,5885
